title,rate,review,label,area,time,category
Fetch Bakery Mullica Hill,,Women-owned,Bakeries,,Open all day,Women-owned
Pound Cake Heaven,2.6 ,(27 reviews),Bakeries、Custom Cakes、Cupcakes,$$,Closed until Noon,Women-owned
Three Graces Coffee,4.7 ,(50 reviews),Coffee & Tea,$$·Queen Village,Closed until 7:00 AM,Women-owned
Creative Cakes by Carolyn,5.0 ,(1 review),Custom Cakes、Bakeries,,Open all day,Women-owned
Shante Delights,,Women-owned,Desserts、Custom Cakes、Cupcakes,Olney,Closed until 8:00 AM,Women-owned
Brown Street Coffee & Bánhery,4.2 ,(164 reviews),Coffee & Tea、Sandwiches,$·Fairmount,Closed until 7:00 AM,Women-owned
Clay’s Creative Corner Bakery,4.2 ,(82 reviews),Bakeries,$$,Closed until 10:00 AM,Women-owned
Velvet Sky Bakery,4.0 ,(150 reviews),Bakeries、Custom Cakes、Cupcakes,$,Closed until 10:00 AM,Women-owned
New Destiny Delights,,Women-owned,Custom Cakes,Roxborough,Closed until 6:00 AM,Women-owned
Nana’s Kitchen & Catering,4.3 ,(18 reviews),Caterers、Kosher、Vegetarian,,Closed until 9:00 AM,Women-owned
The BrickHaus,4.6 ,(127 reviews),Cafes、Breakfast & Brunch,,Closed until 8:00 AM,Women-owned
Sky’s Macarons,,Women-owned,Desserts,,Closed until 10:00 AM,Women-owned
Sweet Talk Cafe,4.5 ,(8 reviews),Desserts、Coffee & Tea,,Closed until 10:00 AM,Women-owned
Bloomsday Cafe,4.3 ,(130 reviews),Coffee & Tea、Wine Bars,$$·Society Hill,Closed until 10:00 AM,Women-owned
Queen & Rook Game Cafe,4.4 ,(110 reviews),Vegetarian、Cafes、Tabletop Games,Society Hill,Closed until 5:00 PM,Women-owned
WOOPS! Cherry Hill,4.4 ,(27 reviews),Macarons、Desserts,$$,Closed until 11:00 AM,Women-owned
Blossom Cafe,4.3 ,(21 reviews),Coffee & Tea、Bakeries,$$,Closed until 8:00 AM,Women-owned
Kupkake Mamas,,Women-owned,Bakeries,Penn Center,,Women-owned
Cupcake Sisters,4.6 ,(24 reviews),Desserts、Cupcakes、Custom Cakes,,Closed until 10:00 AM,Women-owned
Eat Your Heart Out Edibles,5.0 ,(2 reviews),Food Delivery Services、Caterers、Personal Chefs,,Closed until 9:15 AM,Women-owned
Comfort Cakes,5.0 ,(1 review),Desserts、Custom Cakes、Bakeries,,Closed until 9:00 AM,Women-owned
Glassy Brown Cookies,4.4 ,(13 reviews),Desserts,,Closed until Noon,Women-owned
Pink Moose Ice Cream Cafe and Catering,4.7 ,(23 reviews),Ice Cream & Frozen Yogurt、Bakeries、Coffee & Tea,,Closed until Noon,Women-owned
Amici Mullica Hill,5.0 ,(3 reviews),Patisserie/Cake Shop、Desserts、Bakeries,,Closed until 8:00 AM,Women-owned
Ground Up Coffee Shop,4.8 ,(43 reviews),Coffee & Tea、Breakfast & Brunch、Sandwiches,East Passyunk Crossing,Closed until 8:00 AM,Women-owned
Luna Café,3.9 ,(74 reviews),Breakfast & Brunch、Cafes、Coffee & Tea,$$,Closed until 8:00 AM,Women-owned
Mama’s Morsels,,Women-owned,Cupcakes、Vegan、Patisserie/Cake Shop,,Closed until 6:00 PM,Women-owned
Jezabel’s,3.6 ,(140 reviews),Cafes、Spanish、Latin American,$·Spruce Hill,Closed until 9:00 AM,Women-owned
Cafe Ynez,4.3 ,(297 reviews),Mexican、Cafes,$$·Graduate Hospital,Closed until 10:00 AM,Women-owned
Danyelas Bakery,,Women-owned,Desserts、Custom Cakes,,Closed until 11:00 AM,Women-owned
Momma T’s Soulfood,,Women-owned,Soul Food、Bakeries、Desserts,,Closed until 9:00 AM,Women-owned
Zana Cakes,,Women-owned,Bakeries,Chestnut Hill,,Women-owned
Dulces & Sip,,Women-owned,Bakeries、Coffee & Tea,,,Women-owned
Superset Sweets,,Women-owned,Desserts、Donuts、Bakeries,Torresdale,Closed until 7:00 AM,Women-owned
Gluten Free by Jenny Leigh,,Women-owned,Desserts、Gluten-Free,Byberry,Closed until 11:00 AM,Women-owned
Tuscany Cafe,4.4 ,(146 reviews),Cafes、Breakfast & Brunch,$$,Closed until 8:00 AM,Women-owned
Lysa’s Cake’tique,,Women-owned,Bakeries、Custom Cakes,Tacony,Closed until 11:00 AM,Women-owned
Cooking With Purpose Catering,,Women-owned,Gluten-Free、Bakeries,Frankford,Closed until 8:30 AM,Women-owned
The Station,4.3 ,(46 reviews),Coffee & Tea、Breakfast & Brunch,$,Closed until 7:30 AM,Women-owned
Sweet Nettie Catering,,Women-owned,Caterers,,Closed until 7:30 AM,Women-owned
Dipped by De,,Women-owned,Desserts,,Closed until 9:00 AM,Women-owned
Rias sweet creations,1.0 ,(1 review),Bakeries、Custom Cakes、Desserts,,Closed until 3:00 PM,Women-owned
Robin’s Nest Restaurant,3.9 ,(275 reviews),New American、Cocktail Bars、Desserts,$$,Closed until 11:30 AM,Women-owned
Bagelati,4.3 ,(108 reviews),Gelato、Bagels、Ice Cream & Frozen Yogurt,$$,Closed until 6:00 AM,Women-owned
Locals Coffee & Eatery,4.2 ,(43 reviews),Coffee & Tea、Breakfast & Brunch,$,Closed until 7:00 AM,Women-owned
Philly Pretzel Factory,2.5 ,(2 reviews),Pretzels、Bakeries、Hot Dogs,,Closed until 9:00 AM,Women-owned
Cakes by Kim,2.8 ,(66 reviews),Bakeries,$$,Closed until 8:00 AM,Women-owned
Evermore Coffee Roasters,4.7 ,(77 reviews),Coffee Roasteries、Coffee & Tea,$$,Closed until 7:30 AM,Women-owned
2nd Street Bagels,4.1 ,(72 reviews),Bagels、Breakfast & Brunch、Sandwiches,$,Closed until 6:00 AM,Women-owned
Barrister’s Bagels,3.0 ,(115 reviews),Bagels、Sandwiches、Breakfast & Brunch,$,Closed until 7:00 AM,Women-owned
